,Medway,,
Date,Time,Day,NO2 Level
01/01/2020,8:00:00,Mon,28.5
02/01/2020,8:00:00,Tues,17.5
03/01/2020,8:00:00,Wed,23.5
04/01/2020,8:00:00,Thurs,28.23
05/01/2020,8:00:00,Fri,24.53
06/01/2020,12:00:00,Sat,4.767
07/01/2020,12:00:00,Sun,1.6
08/01/2020,8:00:00,Mon,26.5
09/01/2020,8:00:00,Tues,27.5
10/01/2020,8:00:00,Wed,nodata
11/01/2020,8:00:00,Thurs,29.23
12/01/2020,8:00:00,Fri,24.53
13/01/2020,12:00:00,Sat,4.654
14/01/2020,12:00:00,Sun,1.62
15/01/2020,8:00:00,Mon,28.5
16/01/2020,8:00:00,Tues,17.5
17/01/2020,8:00:00,Wed,21.4
18/01/2020,8:00:00,Thurs,28.23
19/01/2020,8:00:00,Fri,21.4
20/01/2020,12:00:00,Sat,4.23
21/01/2020,12:00:00,Sun,1.6
22/01/2020,8:00:00,Mon,33.45
23/01/2020,8:00:00,Tues,21.3
24/01/2020,8:00:00,Wed,5.23
25/01/2020,8:00:00,Thurs,2.22
26/01/2020,8:00:00,Fri,29.45
27/01/2020,12:00:00,Sat,3.76
28/01/2020,12:00:00,Sun,2.12
29/01/2020,8:00:00,Mon,26.45
30/01/2020,8:00:00,Tues,20.28
31/01/2020,8:00:00,Wed,20.75
01/02/2020,8:00:00,Thurs,27.23
02/02/2020,8:00:00,Fri,28.45
03/02/2020,12:00:00,Sat,3.93
04/02/2020,12:00:00,Sun,1.35
05/02/2020,8:00:00,Mon,1.82
06/02/2020,8:00:00,Tues,22.45
07/02/2020,8:00:00,Wed,18.25
08/02/2020,8:00:00,Thurs,19.22
09/02/2020,8:00:00,Fri,29.87
10/02/2020,12:00:00,Sat,2.54
11/02/2020,12:00:00,Sun,1.9
12/02/2020,8:00:00,Mon,29.45
13/02/2020,8:00:00,Tues,29.23
14/02/2020,8:00:00,Wed,24.53
15/02/2020,8:00:00,Thurs,25.54
16/02/2020,8:00:00,Fri,28.19
17/02/2020,12:00:00,Sat,5.23
18/02/2020,12:00:00,Sun,1.75
19/02/2020,8:00:00,Mon,21.4
20/02/2020,8:00:00,Tues,28.23
21/02/2020,8:00:00,Wed,21.4
22/02/2020,8:00:00,Thurs,24.53
23/02/2020,8:00:00,Fri,25.54
24/02/2020,12:00:00,Sat,4.56
25/02/2020,12:00:00,Sun,1.95
26/02/2020,8:00:00,Mon,4.767
27/02/2020,8:00:00,Tues,24.53
28/02/2020,8:00:00,Wed,25.54
29/02/2020,8:00:00,Thurs,17.5
01/03/2020,8:00:00,Fri,21.4
02/03/2020,12:00:00,Sat,4.34
03/03/2020,12:00:00,Sun,1.92
04/03/2020,8:00:00,Mon,30.45
05/03/2020,8:00:00,Tues,29.12
06/03/2020,8:00:00,Wed,29.23
07/03/2020,8:00:00,Thurs,24.53
08/03/2020,8:00:00,Fri,24.8
09/03/2020,12:00:00,Sat,3.96
10/03/2020,12:00:00,Sun,1.67
11/03/2020,8:00:00,Mon,17.5
12/03/2020,8:00:00,Tues,21.4
13/03/2020,8:00:00,Wed,28.23
14/03/2020,8:00:00,Thurs,21.4
15/03/2020,8:00:00,Fri,28.22
16/03/2020,12:00:00,Sat,4.56
17/03/2020,12:00:00,Sun,1.67
18/03/2020,8:00:00,Mon,24.53
19/03/2020,8:00:00,Tues,21.82
20/03/2020,8:00:00,Wed,24.91
21/03/2020,8:00:00,Thurs,28.5
22/03/2020,8:00:00,Fri,17.5
23/03/2020,12:00:00,Sat,4.56
24/03/2020,12:00:00,Sun,1.72
25/03/2020,8:00:00,Mon,21.4
26/03/2020,8:00:00,Tues,14.28
27/03/2020,8:00:00,Wed,28.3
28/03/2020,8:00:00,Thurs,19.45
29/03/2020,8:00:00,Fri,21.04
30/03/2020,12:00:00,Sat,4.23
31/03/2020,12:00:00,Sun,1.59
