,Thurrock,
Date,Ozone,Status
13/08/2021,40.32977,"P µg/m³"
14/08/2021,45.30239,"P µg/m³"
15/08/2021,52.99415,"P µg/m³"
16/08/2021,46.76590,"P µg/m³"
17/08/2021,28.66324,"P µg/m³"
18/08/2021,35.82282,"P µg/m³"
19/08/2021,47.08189,"P µg/m³"
20/08/2021,33.95185,"P µg/m³"
21/08/2021,29.32848,"P µg/m³"
22/08/2021,31.31586,"P µg/m³"
23/08/2021,56.08748,"P µg/m³"
24/08/2021,nodata,"P µg/m³"
25/08/2021,nodata,"P µg/m³"
26/08/2021,44.52074,"P µg/m³"
27/08/2021,41.49393,"P µg/m³"
28/08/2021,33.47787,"P µg/m³"
29/08/2021,40.37966,"P µg/m³"
30/08/2021,50.10038,"P µg/m³"
31/08/2021,50.41637,"P µg/m³"
01/09/2021,49.79272,"P µg/m³"
02/09/2021,55.98770,"P µg/m³"
03/09/2021,65.88305,"P µg/m³"
04/09/2021,67.12204,"P µg/m³"
05/09/2021,59.63817,"P µg/m³"
06/09/2021,36.62109,"P µg/m³"
07/09/2021,63.39674,"P µg/m³"
08/09/2021,65.66684,"P µg/m³"
09/09/2021,37.61894,"P µg/m³"
10/09/2021,45.19429,"P µg/m³"
11/09/2021,nodata,"P µg/m³"
12/09/2021,nodata,"P µg/m³"
